id,levelId,role,direction,levelPrice,generation,period,kind,touchIntervalStartUtc,touchIntervalEndUtc,touchResolution,beirutDate,beirutTime,inWindow,eligible,ineligibleReason,gapId,selected,bothSelectedSidesTouched,selectionOrderKnown,d1Agreement,levelActivatedUtc,status,entryBarReachable,alternatives,tp,sl,maeUsdPerOz,note,paperPrimaryGross,paperSensitivityBase,observedAtUtc
evt:lvl:S:183045:g1:2,lvl:S:183045:g1:2,SUPPORT,BUY,1830.45,1,PRE_STUDY,ORDINARY,2023-02-16T22:00:00.000Z,2023-02-17T02:00:00.000Z,H4_WARMUP,2023-02-17,00:00,false,false,PRE_STUDY,,,,,false,2023-02-16T18:00:00.000Z,,,,,,,,,,
evt:lvl:R:186658:g1:1,lvl:R:186658:g1:1,RESISTANCE,SELL,1866.58,1,PRE_STUDY,ORDINARY,2023-03-10T14:00:00.000Z,2023-03-10T18:00:00.000Z,H4_WARMUP,2023-03-10,16:00,false,false,PRE_STUDY,,,,,false,2023-02-14T18:00:00.000Z,,,,,,,,,,
evt:lvl:R:202100:g1:4,lvl:R:202100:g1:4,RESISTANCE,SELL,2021.00,1,PRE_STUDY,ORDINARY,2023-04-12T09:00:00.000Z,2023-04-12T13:00:00.000Z,H4_WARMUP,2023-04-12,12:00,false,false,PRE_STUDY,,,,,false,2023-04-12T09:00:00.000Z,,,,,,,,,,
evt:lvl:S:198172:g1:5,lvl:S:198172:g1:5,SUPPORT,BUY,1981.72,1,PRE_STUDY,ORDINARY,2023-04-19T05:00:00.000Z,2023-04-19T09:00:00.000Z,H4_WARMUP,2023-04-19,08:00,true,false,PRE_STUDY,,,,,true,2023-04-17T21:00:00.000Z,,,,,,,,,,
evt:lvl:S:197701:g1:6,lvl:S:197701:g1:6,SUPPORT,BUY,1977.01,1,PRE_STUDY,ORDINARY,2023-04-21T13:00:00.000Z,2023-04-21T17:00:00.000Z,H4_WARMUP,2023-04-21,16:00,false,false,PRE_STUDY,,,,,false,2023-04-19T17:00:00.000Z,,,,,,,,,,
evt:lvl:S:197609:g1:7,lvl:S:197609:g1:7,SUPPORT,BUY,1976.09,1,PRE_STUDY,ORDINARY,2023-05-17T13:00:00.000Z,2023-05-17T17:00:00.000Z,H4_WARMUP,2023-05-17,16:00,false,false,PRE_STUDY,,,,,false,2023-04-27T21:00:00.000Z,,,,,,,,,,
evt:lvl:S:195716:g1:8,lvl:S:195716:g1:8,SUPPORT,BUY,1957.16,1,PRE_STUDY,ORDINARY,2023-05-24T13:00:00.000Z,2023-05-24T17:00:00.000Z,H4_WARMUP,2023-05-24,16:00,false,false,PRE_STUDY,,,,,false,2023-05-23T17:00:00.000Z,,,,,,,,,,
evt:lvl:R:198259:g1:9,lvl:R:198259:g1:9,RESISTANCE,SELL,1982.59,1,PRE_STUDY,ORDINARY,2023-06-01T13:00:00.000Z,2023-06-01T17:00:00.000Z,H4_WARMUP,2023-06-01,16:00,false,false,PRE_STUDY,,,,,false,2023-05-24T17:00:00.000Z,,,,,,,,,,
evt:lvl:S:193676:g1:10,lvl:S:193676:g1:10,SUPPORT,BUY,1936.76,1,PRE_STUDY,ORDINARY,2023-06-14T21:00:00.000Z,2023-06-15T01:00:00.000Z,H4_WARMUP,2023-06-15,00:00,false,false,PRE_STUDY,,,,,false,2023-05-30T13:00:00.000Z,,,,,,,,,,
evt:lvl:R:196697:g1:11,lvl:R:196697:g1:11,RESISTANCE,SELL,1966.97,1,PRE_STUDY,ORDINARY,2023-06-16T09:00:00.000Z,2023-06-16T13:00:00.000Z,H4_WARMUP,2023-06-16,12:00,false,false,PRE_STUDY,,,,,false,2023-06-13T17:00:00.000Z,,,,,,,,,,
