id,role,price,generation,pivotId,pivotUtc,retestId,retestUtc,confirmationUtc,activatedUtc,status,statusUtc,h4BarsSinceActivation,d1Agreement,d1AgreementPivotUtc,firstReturnEventId,laterBreakUtc
lvl:R:186658:g1:1,RESISTANCE,1866.58,1,pv:RESISTANCE:74,2023-02-13T06:00:00.000Z,rt:RESISTANCE:74:81,2023-02-14T14:00:00.000Z,2023-02-14T18:00:00.000Z,2023-02-14T18:00:00.000Z,CONSUMED,2023-03-10T14:00:00.000Z,107,false,,evt:lvl:R:186658:g1:1,2023-03-10T22:00:00.000Z
lvl:S:183045:g1:2,SUPPORT,1830.45,1,pv:SUPPORT:88,2023-02-15T14:00:00.000Z,rt:SUPPORT:88:93,2023-02-16T14:00:00.000Z,2023-02-16T18:00:00.000Z,2023-02-16T18:00:00.000Z,CONSUMED,2023-02-16T22:00:00.000Z,1,false,,evt:lvl:S:183045:g1:2,2023-02-17T02:00:00.000Z
lvl:S:189542:g1:3,SUPPORT,1895.42,1,pv:SUPPORT:201,2023-03-14T10:00:00.000Z,rt:SUPPORT:201:206,2023-03-15T10:00:00.000Z,2023-03-15T14:00:00.000Z,2023-03-15T14:00:00.000Z,EXPIRED,2023-04-13T13:00:00.000Z,120,false,,,2023-08-16T21:00:00.000Z
lvl:R:202100:g1:4,RESISTANCE,2021.00,1,pv:RESISTANCE:303,2023-04-06T09:00:00.000Z,rt:RESISTANCE:303:319,2023-04-12T05:00:00.000Z,2023-04-12T09:00:00.000Z,2023-04-12T09:00:00.000Z,CONSUMED,2023-04-12T09:00:00.000Z,0,false,,evt:lvl:R:202100:g1:4,2023-04-12T13:00:00.000Z
lvl:S:198172:g1:5,SUPPORT,1981.72,1,pv:SUPPORT:310,2023-04-10T13:00:00.000Z,rt:SUPPORT:310:340,2023-04-17T17:00:00.000Z,2023-04-17T21:00:00.000Z,2023-04-17T21:00:00.000Z,CONSUMED,2023-04-19T05:00:00.000Z,8,true,2023-04-09T21:00:00.000Z,evt:lvl:S:198172:g1:5,2023-04-19T09:00:00.000Z
lvl:S:197701:g1:6,SUPPORT,1977.01,1,pv:SUPPORT:290,2023-04-04T05:00:00.000Z,rt:SUPPORT:290:350,2023-04-19T09:00:00.000Z,2023-04-19T17:00:00.000Z,2023-04-19T17:00:00.000Z,CONSUMED,2023-04-21T13:00:00.000Z,11,false,,evt:lvl:S:197701:g1:6,2023-05-18T09:00:00.000Z
lvl:S:197609:g1:7,SUPPORT,1976.09,1,pv:SUPPORT:375,2023-04-25T09:00:00.000Z,rt:SUPPORT:375:388,2023-04-27T17:00:00.000Z,2023-04-27T21:00:00.000Z,2023-04-27T21:00:00.000Z,CONSUMED,2023-05-17T13:00:00.000Z,82,false,,evt:lvl:S:197609:g1:7,2023-05-18T09:00:00.000Z
lvl:S:195716:g1:8,SUPPORT,1957.16,1,pv:SUPPORT:484,2023-05-19T13:00:00.000Z,rt:SUPPORT:484:494,2023-05-23T09:00:00.000Z,2023-05-23T17:00:00.000Z,2023-05-23T17:00:00.000Z,CONSUMED,2023-05-24T13:00:00.000Z,5,false,,evt:lvl:S:195716:g1:8,2023-05-25T13:00:00.000Z
lvl:R:198259:g1:9,RESISTANCE,1982.59,1,pv:RESISTANCE:489,2023-05-22T09:00:00.000Z,rt:RESISTANCE:489:501,2023-05-24T13:00:00.000Z,2023-05-24T17:00:00.000Z,2023-05-24T17:00:00.000Z,CONSUMED,2023-06-01T13:00:00.000Z,35,false,,evt:lvl:R:198259:g1:9,2023-07-20T05:00:00.000Z
lvl:S:193676:g1:10,SUPPORT,1936.76,1,pv:SUPPORT:510,2023-05-25T21:00:00.000Z,rt:SUPPORT:510:524,2023-05-30T09:00:00.000Z,2023-05-30T13:00:00.000Z,2023-05-30T13:00:00.000Z,CONSUMED,2023-06-14T21:00:00.000Z,68,false,,evt:lvl:S:193676:g1:10,2023-06-15T05:00:00.000Z
