id,role,price,h4Index,barOpenUtc,confirmedAtUtc,qualified,usedByLevelId
pv:SUPPORT:4,SUPPORT,1918.62,4,2023-01-26T14:00:00.000Z,2023-01-27T02:00:00.000Z,true,
pv:SUPPORT:7,SUPPORT,1919.84,7,2023-01-27T02:00:00.000Z,2023-01-27T14:00:00.000Z,false,
pv:RESISTANCE:9,RESISTANCE,1935.11,9,2023-01-27T10:00:00.000Z,2023-01-27T22:00:00.000Z,false,
pv:SUPPORT:10,SUPPORT,1916.59,10,2023-01-27T14:00:00.000Z,2023-01-30T02:00:00.000Z,true,
pv:RESISTANCE:13,RESISTANCE,1934.50,13,2023-01-30T02:00:00.000Z,2023-01-30T14:00:00.000Z,false,
pv:SUPPORT:14,SUPPORT,1920.69,14,2023-01-30T06:00:00.000Z,2023-01-30T18:00:00.000Z,false,
pv:SUPPORT:21,SUPPORT,1900.82,21,2023-01-31T10:00:00.000Z,2023-01-31T22:00:00.000Z,true,
pv:RESISTANCE:23,RESISTANCE,1931.15,23,2023-01-31T18:00:00.000Z,2023-02-01T06:00:00.000Z,false,
pv:SUPPORT:28,SUPPORT,1920.54,28,2023-02-01T14:00:00.000Z,2023-02-02T02:00:00.000Z,true,
pv:RESISTANCE:32,RESISTANCE,1959.68,32,2023-02-02T06:00:00.000Z,2023-02-02T18:00:00.000Z,true,
pv:SUPPORT:35,SUPPORT,1911.30,35,2023-02-02T18:00:00.000Z,2023-02-03T06:00:00.000Z,false,
pv:SUPPORT:41,SUPPORT,1861.44,41,2023-02-03T18:00:00.000Z,2023-02-06T06:00:00.000Z,true,
pv:RESISTANCE:44,RESISTANCE,1881.38,44,2023-02-06T06:00:00.000Z,2023-02-06T18:00:00.000Z,true,
pv:SUPPORT:46,SUPPORT,1863.07,46,2023-02-06T14:00:00.000Z,2023-02-07T02:00:00.000Z,true,
pv:RESISTANCE:52,RESISTANCE,1884.40,52,2023-02-07T14:00:00.000Z,2023-02-08T02:00:00.000Z,true,
pv:SUPPORT:53,SUPPORT,1864.99,53,2023-02-07T18:00:00.000Z,2023-02-08T06:00:00.000Z,true,
pv:RESISTANCE:56,RESISTANCE,1886.36,56,2023-02-08T06:00:00.000Z,2023-02-08T18:00:00.000Z,true,
pv:SUPPORT:58,SUPPORT,1869.03,58,2023-02-08T14:00:00.000Z,2023-02-09T02:00:00.000Z,false,
pv:RESISTANCE:64,RESISTANCE,1890.31,64,2023-02-09T14:00:00.000Z,2023-02-10T02:00:00.000Z,true,
pv:SUPPORT:67,SUPPORT,1852.80,67,2023-02-10T02:00:00.000Z,2023-02-10T14:00:00.000Z,true,
pv:RESISTANCE:68,RESISTANCE,1872.23,68,2023-02-10T06:00:00.000Z,2023-02-10T18:00:00.000Z,true,
pv:SUPPORT:70,SUPPORT,1856.44,70,2023-02-10T14:00:00.000Z,2023-02-13T02:00:00.000Z,false,
pv:RESISTANCE:74,RESISTANCE,1866.58,74,2023-02-13T06:00:00.000Z,2023-02-13T18:00:00.000Z,true,lvl:R:186658:g1:1
pv:SUPPORT:77,SUPPORT,1850.47,77,2023-02-13T18:00:00.000Z,2023-02-14T06:00:00.000Z,false,
pv:RESISTANCE:81,RESISTANCE,1870.66,81,2023-02-14T10:00:00.000Z,2023-02-14T22:00:00.000Z,true,
pv:SUPPORT:82,SUPPORT,1843.29,82,2023-02-14T14:00:00.000Z,2023-02-15T02:00:00.000Z,true,
pv:RESISTANCE:85,RESISTANCE,1860.11,85,2023-02-15T02:00:00.000Z,2023-02-15T14:00:00.000Z,true,
pv:SUPPORT:88,SUPPORT,1830.45,88,2023-02-15T14:00:00.000Z,2023-02-16T02:00:00.000Z,true,lvl:S:183045:g1:2
pv:RESISTANCE:92,RESISTANCE,1844.81,92,2023-02-16T06:00:00.000Z,2023-02-16T18:00:00.000Z,true,
pv:SUPPORT:94,SUPPORT,1827.64,94,2023-02-16T14:00:00.000Z,2023-02-17T02:00:00.000Z,false,
pv:RESISTANCE:95,RESISTANCE,1845.30,95,2023-02-16T18:00:00.000Z,2023-02-17T06:00:00.000Z,true,
pv:SUPPORT:98,SUPPORT,1818.90,98,2023-02-17T06:00:00.000Z,2023-02-17T18:00:00.000Z,true,
pv:RESISTANCE:104,RESISTANCE,1847.48,104,2023-02-20T06:00:00.000Z,2023-02-20T18:00:00.000Z,false,
pv:SUPPORT:111,SUPPORT,1830.23,111,2023-02-21T10:00:00.000Z,2023-02-21T22:00:00.000Z,false,
pv:RESISTANCE:112,RESISTANCE,1843.84,112,2023-02-21T14:00:00.000Z,2023-02-22T02:00:00.000Z,false,
pv:RESISTANCE:117,RESISTANCE,1846.03,117,2023-02-22T10:00:00.000Z,2023-02-22T22:00:00.000Z,true,
pv:SUPPORT:120,SUPPORT,1823.16,120,2023-02-22T22:00:00.000Z,2023-02-23T10:00:00.000Z,false,
pv:RESISTANCE:122,RESISTANCE,1833.78,122,2023-02-23T06:00:00.000Z,2023-02-23T18:00:00.000Z,true,
pv:SUPPORT:123,SUPPORT,1817.46,123,2023-02-23T10:00:00.000Z,2023-02-23T22:00:00.000Z,false,
pv:RESISTANCE:127,RESISTANCE,1827.82,127,2023-02-24T02:00:00.000Z,2023-02-24T14:00:00.000Z,true,
pv:SUPPORT:130,SUPPORT,1808.93,130,2023-02-24T14:00:00.000Z,2023-02-27T02:00:00.000Z,false,
pv:SUPPORT:133,SUPPORT,1806.69,133,2023-02-27T02:00:00.000Z,2023-02-27T14:00:00.000Z,false,
pv:RESISTANCE:137,RESISTANCE,1820.18,137,2023-02-27T18:00:00.000Z,2023-02-28T06:00:00.000Z,false,
pv:SUPPORT:140,SUPPORT,1804.69,140,2023-02-28T06:00:00.000Z,2023-02-28T18:00:00.000Z,true,
pv:RESISTANCE:142,RESISTANCE,1831.18,142,2023-02-28T14:00:00.000Z,2023-03-01T02:00:00.000Z,false,
pv:RESISTANCE:148,RESISTANCE,1844.55,148,2023-03-01T14:00:00.000Z,2023-03-02T02:00:00.000Z,true,
pv:SUPPORT:152,SUPPORT,1829.99,152,2023-03-02T06:00:00.000Z,2023-03-02T18:00:00.000Z,false,
pv:RESISTANCE:164,RESISTANCE,1858.27,164,2023-03-06T06:00:00.000Z,2023-03-06T18:00:00.000Z,false,
pv:RESISTANCE:170,RESISTANCE,1851.66,170,2023-03-07T06:00:00.000Z,2023-03-07T18:00:00.000Z,true,
