id,h4Index,barOpenUtc,confirmedAtUtc
rt:SUPPORT:4:10,10,2023-01-27T14:00:00.000Z,2023-01-27T18:00:00.000Z
rt:RESISTANCE:44:52,52,2023-02-07T14:00:00.000Z,2023-02-07T18:00:00.000Z
rt:SUPPORT:46:64,64,2023-02-09T14:00:00.000Z,2023-02-09T18:00:00.000Z
rt:SUPPORT:53:64,64,2023-02-09T14:00:00.000Z,2023-02-09T18:00:00.000Z
rt:SUPPORT:41:65,65,2023-02-09T18:00:00.000Z,2023-02-09T22:00:00.000Z
rt:RESISTANCE:74:81,81,2023-02-14T10:00:00.000Z,2023-02-14T14:00:00.000Z
rt:SUPPORT:88:93,93,2023-02-16T10:00:00.000Z,2023-02-16T14:00:00.000Z
rt:RESISTANCE:92:103,103,2023-02-20T02:00:00.000Z,2023-02-20T06:00:00.000Z
rt:RESISTANCE:95:104,104,2023-02-20T06:00:00.000Z,2023-02-20T10:00:00.000Z
rt:SUPPORT:98:123,123,2023-02-23T10:00:00.000Z,2023-02-23T14:00:00.000Z
rt:RESISTANCE:122:146,146,2023-03-01T06:00:00.000Z,2023-03-01T10:00:00.000Z
rt:RESISTANCE:117:158,158,2023-03-03T06:00:00.000Z,2023-03-03T10:00:00.000Z
rt:SUPPORT:201:206,206,2023-03-15T06:00:00.000Z,2023-03-15T10:00:00.000Z
rt:RESISTANCE:213:218,218,2023-03-17T06:00:00.000Z,2023-03-17T10:00:00.000Z
rt:SUPPORT:243:254,254,2023-03-27T05:00:00.000Z,2023-03-27T09:00:00.000Z
rt:RESISTANCE:268:273,273,2023-03-30T09:00:00.000Z,2023-03-30T13:00:00.000Z
rt:RESISTANCE:279:286,286,2023-04-03T13:00:00.000Z,2023-04-03T17:00:00.000Z
rt:SUPPORT:298:304,304,2023-04-06T13:00:00.000Z,2023-04-06T17:00:00.000Z
rt:RESISTANCE:303:319,319,2023-04-12T01:00:00.000Z,2023-04-12T05:00:00.000Z
rt:RESISTANCE:321:326,326,2023-04-13T05:00:00.000Z,2023-04-13T09:00:00.000Z
rt:SUPPORT:310:340,340,2023-04-17T13:00:00.000Z,2023-04-17T17:00:00.000Z
rt:SUPPORT:290:350,350,2023-04-19T05:00:00.000Z,2023-04-19T09:00:00.000Z
rt:RESISTANCE:372:377,377,2023-04-25T17:00:00.000Z,2023-04-25T21:00:00.000Z
rt:SUPPORT:375:388,388,2023-04-27T13:00:00.000Z,2023-04-27T17:00:00.000Z
rt:SUPPORT:383:388,388,2023-04-27T13:00:00.000Z,2023-04-27T17:00:00.000Z
rt:SUPPORT:411:423,423,2023-05-05T09:00:00.000Z,2023-05-05T13:00:00.000Z
rt:SUPPORT:456:464,464,2023-05-16T05:00:00.000Z,2023-05-16T09:00:00.000Z
rt:SUPPORT:393:472,472,2023-05-17T13:00:00.000Z,2023-05-17T17:00:00.000Z
rt:SUPPORT:404:472,472,2023-05-17T13:00:00.000Z,2023-05-17T17:00:00.000Z
rt:SUPPORT:370:476,476,2023-05-18T05:00:00.000Z,2023-05-18T09:00:00.000Z
